"","SVM_PRECISION","SVM_RECALL","SVM_FSCORE","SLDA_PRECISION","SLDA_RECALL","SLDA_FSCORE","LOGITBOOST_PRECISION","LOGITBOOST_RECALL","LOGITBOOST_FSCORE","BAGGING_PRECISION","BAGGING_RECALL","BAGGING_FSCORE","FORESTS_PRECISION","FORESTS_RECALL","FORESTS_FSCORE","GLMNET_PRECISION","GLMNET_RECALL","GLMNET_FSCORE","TREE_PRECISION","TREE_RECALL","TREE_FSCORE"
"12",0.78,0.96,0.86,0.81,0.82,0.81,0.78,0.94,0.85,0.78,0.87,0.82,0.78,0.98,0.87,0.8,0.93,0.86,0.74,0.9,0.81
"13",0.64,0.23,0.34,0.47,0.45,0.46,0.58,0.23,0.33,0.43,0.29,0.35,0.75,0.19,0.3,0.62,0.32,0.42,0.25,0.1,0.14
